Frame Range Start, Frame Range End, Running Accuracy, Round Accuracy, Configuration
(0, 1800, (0.004, 3000), 0.9594006940588861, 0.9594006940588861),
(1800, 3600, (0.004, 3000), 0.9615255711345855, 0.9636504482102847),
(3600, 5400, (0.004, 3000), 0.9616545546093167, 0.961912521558779),
(5400, 7200, (0.004, 3000), 0.9531808486441267, 0.9277597307485566),
(7200, 9000, (0.004, 3000), 0.9515814051884008, 0.9451836313654971),
(9000, 10800, (0.004, 3000), 0.9509912004485752, 0.9480401767494467),
(10800, 12600, (0.004, 3000), 0.9512294007627238, 0.9526586026476146),
(12600, 14400, (0.004, 3000), 0.9523607291444008, 0.9602800278161407),
(14400, 16200, (0.004, 3000), 0.9543006831483567, 0.9698203151800032),
(16200, 18000, (0.004, 3000), 0.9566680960031004, 0.9779748116957933),
(18000, 18002, (0.004, 3000), 0.9566723141274149, 0.9946354329586029),
