Frame Range Start, Frame Range End, Configuration, Running Accuracy, Round Accuracy
Frame Range Start, Frame Range End, Configuration, Running Accuracy, Round Accuracy
(0, 1800, (0.0, 400.0), 0.9391835139782204, 0.9391835139782204),
(1800, 3600, (0.0, 400.0), 0.9348248039382964, 0.9304660938983722),
(3600, 5400, (0.0, 400.0), 0.9297837447212028, 0.9197016262870161),
(5400, 7200, (0.0, 400.0), 0.9292432923482354, 0.927621935229333),
(7200, 9000, (0.0, 400.0), 0.9285740495501152, 0.9258970783576346),
(9000, 10800, (0.0, 400.0), 0.9282792030995434, 0.9268049708466835),
(10800, 12600, (0.0, 400.0), 0.9282410458107877, 0.9280121020782532),
(12600, 14400, (0.0, 400.0), 0.9270573474613925, 0.9187714590156252),
(14400, 16200, (0.0, 400.0), 0.9278251690886475, 0.9339677421066878),
(16200, 18000, (0.0, 400.0), 0.9247515592007242, 0.8970890702094134),
(18000, 18030, (0.0, 400.0), 0.9247629773669751, 0.9316138771176339),
