Frame Range Start, Frame Range End, Configuration, Running Accuracy, Round Accuracy
(0, 1800, (0.02, 2100.0), 0.8502081136373857, 0.8502081136373857),
(1800, 3600, (0.02, 2100.0), 0.8729439743619981, 0.8956798350866106),
(3600, 5400, (0.02, 2100.0), 0.8801204038691709, 0.8944732628835165),
(5400, 7200, (0.02, 2100.0), 0.8789778024125076, 0.8755499980425174),
(7200, 9000, (0.02, 2100.0), 0.884747852910276, 0.9078280549013495),
(9000, 10800, (0.02, 2100.0), 0.8840389663774443, 0.8804945337132858),
(10800, 12600, (0.02, 2100.0), 0.8843003371159783, 0.8858685615471824),
(12600, 14400, (0.02, 2100.0), 0.883804185804959, 0.8803311266278234),
(14400, 16200, (0.02, 2100.0), 0.8853692745287627, 0.8978899843191924),
(16200, 18000, (0.02, 2100.0), 0.8884705548077377, 0.9163820773185134),
(18000, 18002, (0.02, 2100.0), 0.8884820794217103, 0.9922036051750183),
