Frame Range Start, Frame Range End, Running Accuracy, Round Accuracy, Configuration
(0, 1800, (0.0016, 3000), 0.9474940530359154, 0.9474940530359154),
(1800, 3600, (0.0016, 3000), 0.941302775409106, 0.9351114977822965),
(3600, 5400, (0.0016, 3000), 0.9197415060395182, 0.8766189673003425),
(5400, 7200, (0.0016, 3000), 0.9256175353290065, 0.9432456231974714),
(7200, 9000, (0.0016, 3000), 0.9241902267673475, 0.9184809925207121),
(9000, 10800, (0.0016, 3000), 0.9282350527507168, 0.9484591826675635),
(10800, 12600, (0.0016, 3000), 0.9267118860367016, 0.9175728857526108),
(12600, 14400, (0.0016, 3000), 0.9289603707044222, 0.944699763378466),
(14400, 16200, (0.0016, 3000), 0.931597946204629, 0.9526985502062844),
(16200, 18000, (0.0016, 3000), 0.9371136625676975, 0.9867551098353137),
(18000, 18017, (0.0016, 3000), 0.9371694611666121, 0.9962503306057939),
