Frame Range Start, Frame Range End, Configuration, Running Accuracy, Round Accuracy
(0, 1800, (0.02, 2100.0), 0.8557024603841046, 0.8557024603841046),
(1800, 1950, (0.02, 2100.0), 0.8551599416608732, 0.8486497169820959),
(1950, 3750, (0.01, 1600.0), 0.889944799000456, 0.9276283944516706),
(3750, 3900, (0.01, 1600.0), 0.8911126437207898, 0.9203087617291343),
(3900, 5700, (0.04, 3000.0), 0.8970583398282884, 0.9099406813945352),
(5700, 5850, (0.04, 3000.0), 0.8973861409150645, 0.909842582212554),
(5850, 7650, (0.08, 1600.0), 0.8538958540079973, 0.7125524215600286),
(7650, 7800, (0.08, 1600.0), 0.8520644239603716, 0.7586614915314643),
(7800, 9600, (0.01, 3000.0), 0.8706436912562807, 0.9511538495385533),
(9600, 9750, (0.01, 3000.0), 0.871646935343539, 0.9358545569280786),
(9750, 11550, (0.03, 1600.0), 0.8720234193923918, 0.874062707990345),
(11550, 11700, (0.03, 1600.0), 0.8721087037042011, 0.8786755957135131),
(11700, 13500, (0.06, 1900.0), 0.866814098068111, 0.832399161433526),
(13500, 13650, (0.06, 1900.0), 0.8672310544223608, 0.9047571263048383),
(13650, 15450, (0.08, 1900.0), 0.8705002353608797, 0.8952915241446476),
(15450, 15600, (0.08, 1900.0), 0.8711100384542826, 0.9339197570747793),
(15600, 17400, (0.09, 2400.0), 0.8778722437597436, 0.9364780230737391),
(17400, 17550, (0.09, 2400.0), 0.8785333725352229, 0.9552243104908203),
(17550, 18002, (0.08, 1900.0), 0.8798111015348763, 0.9294220394638959),
Final Dataset: Dataset(query_points=<tf.Tensor: shape=(15, 2), dtype=float64, numpy=
array([[       0.02,        1600],
       [       0.01,        2400],
       [       0.02,        2400],
       [       0.07,         100],
       [       0.08,        1900],
       [       0.02,        3000],
       [          0,        1900],
       [          0,        1600],
       [       0.01,        3000],
       [       0.06,        1900],
       [       0.02,        1900],
       [       0.07,        2700],
       [       0.04,        3000],
       [        0.1,         100],
       [       0.09,        2400]])>, observations=<tf.Tensor: shape=(15, 2), dtype=float64, numpy=
array([[     4.1176,    -0.95269],
       [     4.2771,    -0.95699],
       [     4.1321,    -0.95442],
       [     4.0155,    -0.12951],
       [     4.0356,    -0.93392],
       [     4.1175,    -0.97517],
       [     4.6678,    -0.95698],
       [     4.6503,    -0.95884],
       [     4.2995,    -0.97659],
       [     4.0619,    -0.95279],
       [     4.1462,     -0.9518],
       [      4.065,    -0.94942],
       [     4.0432,    -0.95699],
       [     4.0565,    -0.33147],
       [     4.0421,    -0.95522]])>)
Frame Range Start, Frame Range End, Configuration, Running Accuracy, Round Accuracy
(0, 1800, (0.02, 2100.0), 0.8566071568077094, 0.8566071568077094),
(1800, 1950, (0.02, 2100.0), 0.858730547763724, 0.8842112392358998),
(1950, 3750, (0.01, 1600.0), 0.8863257130762875, 0.9162204754982314),
(3750, 3900, (0.01, 1600.0), 0.8870911637134157, 0.9062274296416177),
(3900, 5700, (0.04, 1900.0), 0.8901243667073114, 0.8966963065274193),
(5700, 5850, (0.04, 1900.0), 0.8907505825021372, 0.9145467827055188),
(5850, 7650, (0.04, 1300.0), 0.8648425880682082, 0.7806416061579389),
(7650, 7800, (0.04, 1300.0), 0.8620036393714935, 0.7172172558390433),
(7800, 9600, (0.05, 3000.0), 0.8736739786232234, 0.9242454487140532),
(9600, 9750, (0.05, 3000.0), 0.8731399373901331, 0.8389612984723511),
(9750, 11550, (0.02, 3000.0), 0.8803983320759247, 0.9197146366239628),
(11550, 11700, (0.02, 3000.0), 0.8809178071688887, 0.9209173893271166),
(11700, 13500, (0.03, 3000.0), 0.8817395977560645, 0.887081236572707),
(13500, 13650, (0.03, 3000.0), 0.8827649881899687, 0.9750501272413469),
(13650, 15450, (0.07, 700.0), 0.8655168690327816, 0.7347186320907795),
(15450, 15600, (0.07, 700.0), 0.8656659143483665, 0.8810175818536016),
(15600, 17400, (0.09, 2700.0), 0.8714210731598381, 0.9212991161925922),
(17400, 17550, (0.09, 2700.0), 0.872100556150857, 0.9509205831090611),
(17550, 18002, (0.07, 3000.0), 0.8739489657277575, 0.9457179658928101),
Avg Total Explore Time: 38.88758338377617
Avg MBO Suggestion Time: 12.22507744988737
Avg Config Evaluation Time: 26.61315546288986
Final Dataset: Dataset(query_points=<tf.Tensor: shape=(15, 2), dtype=float64, numpy=
array([[       0.06,        1300],
       [       0.08,        1300],
       [        0.1,        2700],
       [       0.06,        1000],
       [       0.07,         700],
       [       0.03,        3000],
       [       0.02,        3000],
       [       0.02,        1600],
       [       0.01,        2100],
       [          0,        1600],
       [          0,        1900],
       [       0.08,         400],
       [       0.04,        3000],
       [       0.08,        3000],
       [       0.09,        2700]])>, observations=<tf.Tensor: shape=(15, 2), dtype=float64, numpy=
array([[     4.0302,    -0.88528],
       [     3.9983,    -0.70178],
       [     4.0411,    -0.89512],
       [     4.0366,    -0.93798],
       [     4.0071,    -0.88102],
       [     4.0851,    -0.97125],
       [     4.1175,    -0.97761],
       [     4.1176,    -0.96195],
       [     4.2145,    -0.93264],
       [     4.6503,    -0.96786],
       [     4.6678,    -0.96998],
       [     4.0108,    -0.82814],
       [     4.0432,    -0.97009],
       [     4.0314,    -0.96207],
       [     4.0219,    -0.95092]])>)

