Frame Range Start, Frame Range End, Configuration, Average Energy
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 3000), 6.991750588235295),
(1800, 1950, (0.0, 3000), 6.841773529411767),
(1950, 3750, (0.0, 3000), 7.152838860759505),
(3750, 3900, (0.0, 3000), 7.025598484848486),
(3900, 5700, (0.0, 3000), 6.952548221343873),
(5700, 5850, (0.0, 3000), 7.028873015873015),
(5850, 7650, (0.0, 3000), 6.991362549800802),
(7650, 7800, (0.0, 3000), 6.817084615384622),
(7800, 9600, (0.0, 3000), 7.118311503267977),
(9600, 9750, (0.0, 3000), 6.901639682539682),
(9750, 11550, (0.0, 3000), 7.087303790849675),
(11550, 11700, (0.0, 3000), 7.472300000000001),
(11700, 13500, (0.0, 3000), 7.027746562905305),
(13500, 13650, (0.0, 3000), 6.845465333333333),
(13650, 15450, (0.0, 3000), 7.0424503267973835),
(15450, 15600, (0.0, 3000), 7.29543230769231),
(15600, 17400, (0.0, 3000), 7.028864797913944),
(17400, 17550, (0.0, 3000), 7.130300000000003),
(17550, 18017, (0.0, 3000), 6.886461083743847),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 3000), 0.0),
(1800, 1950, (0.0, 3000), 0.0),
(1950, 3750, (0.0, 3000), 0.0),
