Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.004, 3000), 7.499771184210529),
(1800, 3600, (0.004, 3000), 7.4940700000000025),
(3600, 5400, (0.004, 3000), 7.320467819148953),
(5400, 7200, (0.004, 3000), 7.303310386151805),
(7200, 9000, (0.004, 3000), 7.304883466666664),
(9000, 10800, (0.004, 3000), 7.40067038512616),
(10800, 12600, (0.004, 3000), 7.468537417654803),
(12600, 14400, (0.004, 3000), 7.380535199999997),
(14400, 16200, (0.004, 3000), 7.383683819628642),
(16200, 18000, (0.004, 3000), 7.400654847277562),
(18000, 18002, (0.004, 3000), 7.3607000000000005),
